
1897,99,98,53,77,70,1902,1897,
1897,39,21,14,47,41,1902,1897,
1897,45,2,73,24,51,1902,1897,
1897,31,22,29,46,60,1902,1897,
1902,16,67,48,34,26,1907,1902,
1902,43,62,68,3,58,1907,1902,
1902,82,36,18,7,37,1907,1902,
1902,11,17,80,90,55,1907,1902,
1907,38,35,27,23,5,1912,1907,
1907,91,86,84,9,32,1912,1907,
1907,33,88,40,42,4,1912,1907,
1907,87,59,13,61,8,1912,1907,
1912,25,64,72,83,97,1917,1912,
1912,44,71,92,89,20,1917,1912,
1912,96,15,69,75,30,1917,1912,
1912,19,94,78,12,76,1917,1912,
1917,95,57,49,79,81,1920,1917,
1917,1,52,28,65,50,1920,1917,
1917,63,66,10,56,93,1920,1917,
1917,74,85,6,54,100,1920,1917,
