,temp,current_dist,new_dist,best_dist,,Diff,t_0,c_r,n,t_f
1,593.672,1208.03,1208.03,1199.34,0,8.69,239.868,0.998,10000,4.8E-07
2,587.735,1245.66,1245.66,1199.34,0,46.32,239.868,0.997153465,10000,1.0E-10
3,581.858,1255.91,1255.91,1199.34,0,56.57,5000,0.997998993,10000,1.0E-05
4,576.04,1235.45,1235.45,1199.34,0,36.11,5000,0.999799719,100000,1.0E-05
5,570.279,1232,1232,1199.34,0,32.66,5000,0.99997997,1000000,1.0E-05
6,564.576,1220.1,1220.1,1199.34,0,20.76,,,,
7,558.931,1230.83,1230.83,1199.34,0,31.49,,,,
8,553.341,1239.55,1239.55,1199.34,0,40.21,,,,
9,547.808,1221.08,1221.08,1199.34,0,21.74,,,,
10,542.33,1223.11,1223.11,1199.34,0,23.77,,,,
11,536.907,1223.11,1274.61,1199.34,DIFF,75.27,,,,
12,531.537,1224.79,1224.79,1199.34,0,25.45,,,,
13,526.222,1229.66,1229.66,1199.34,0,30.32,,,,
14,520.96,1329.65,1329.65,1199.34,0,130.31,,,,
15,515.75,1229.66,1229.66,1199.34,0,30.32,,,,
16,510.593,1258.19,1258.19,1199.34,0,58.85,,,,
17,505.487,1255.37,1255.37,1199.34,0,,,,,
18,500.432,1258.19,1258.19,1199.34,0,,,,,
19,495.428,1279.52,1279.52,1199.34,0,,,,,
20,490.473,1279.53,1279.53,1199.34,0,,,,,
21,485.569,1326.87,1326.87,1199.34,0,,,,,
22,480.713,1295.51,1295.51,1199.34,0,,,,,
23,475.906,1270.66,1270.66,1199.34,0,,,,,
24,471.147,1309.97,1309.97,1199.34,0,,,,,
25,466.435,1304.25,1304.25,1199.34,0,,,,,
26,461.771,1298.53,1298.53,1199.34,0,,,,,
27,457.153,1263.75,1263.75,1199.34,0,,,,,
28,452.582,1303.36,1303.36,1199.34,0,,,,,
29,448.056,1316.96,1316.96,1199.34,0,,,,,
30,443.575,1343.23,1343.23,1199.34,0,,,,,
31,439.14,1361.84,1361.84,1199.34,0,,,,,
32,434.748,1370.12,1370.12,1199.34,0,,,,,
33,430.401,1372.33,1372.33,1199.34,0,,,,,
34,426.097,1383.43,1383.43,1199.34,0,,,,,
35,421.836,1367.49,1367.49,1199.34,0,,,,,
36,417.617,1355.53,1355.53,1199.34,0,,,,,
37,413.441,1373.79,1373.79,1199.34,0,,,,,
38,409.307,1365.61,1365.61,1199.34,0,,,,,
39,405.214,1336.86,1336.86,1199.34,0,,,,,
40,401.162,1326.2,1326.2,1199.34,0,,,,,
41,397.15,1322.11,1322.11,1199.34,0,,,,,
42,393.178,1310.77,1310.77,1199.34,0,,,,,
43,389.247,1301.82,1301.82,1199.34,0,,,,,
44,385.354,1302.07,1302.07,1199.34,0,,,,,
45,381.501,1294.69,1294.69,1199.34,0,,,,,
46,377.686,1338.39,1338.39,1199.34,0,,,,,
47,373.909,1346.67,1346.67,1199.34,0,,,,,
48,370.17,1257.56,1257.56,1199.34,0,,,,,
49,366.468,1253.33,1253.33,1199.34,0,,,,,
50,362.803,1229.53,1229.53,1199.34,0,,,,,
51,359.175,1245.55,1245.55,1199.34,0,,,,,
52,355.584,1262.18,1262.18,1199.34,0,,,,,
53,352.028,1305.32,1305.32,1199.34,0,,,,,
54,348.507,1278.95,1278.95,1199.34,0,,,,,
55,345.022,1322.11,1322.11,1199.34,0,,,,,
56,341.572,1333.19,1333.19,1199.34,0,,,,,
57,338.156,1341.64,1341.64,1199.34,0,,,,,
58,334.775,1333.19,1333.19,1199.34,0,,,,,
59,331.427,1344.32,1344.32,1199.34,0,,,,,
60,328.113,1344.06,1344.06,1199.34,0,,,,,
61,324.832,1340.4,1340.4,1199.34,0,,,,,
62,321.583,1376.91,1376.91,1199.34,0,,,,,
63,318.368,1366.76,1366.76,1199.34,0,,,,,
64,315.184,1366.76,1376.64,1199.34,DIFF,,,,,
65,312.032,1373.14,1373.14,1199.34,0,,,,,
66,308.912,1339.68,1339.68,1199.34,0,,,,,
67,305.823,1320.07,1320.07,1199.34,0,,,,,
68,302.764,1350.91,1350.91,1199.34,0,,,,,
