ClusterID,PtID,X,Y
2,21,11,3
2,22,33,22
2,64,74,55
2,93,38,18
2,50,41,29
2,81,59,10
2,85,50,2
2,28,59,37
2,29,41,23
2,69,91,7
9,62,36,61
9,92,99,53
9,98,21,7
9,94,88,0
9,95,67,27
9,96,93,28
9,57,72,24
9,12,53,2
9,99,17,10
9,100,14,13
7,71,87,57
7,72,83,53
7,73,9,45
7,74,58,9
7,49,82,18
7,76,46,22
7,6,45,5
7,78,68,13
7,79,91,0
7,70,37,7
4,41,23,29
4,42,54,84
4,5,64,62
4,89,99,48
4,45,8,31
4,46,39,44
4,97,83,48
4,48,38,37
4,75,88,21
4,25,68,53
6,61,90,86
6,88,21,96
6,83,83,48
6,23,64,73
6,65,52,31
6,66,50,50
6,67,24,41
6,68,30,66
6,30,78,29
6,80,55,62
1,11,4,91
1,38,50,70
1,13,82,92
1,52,58,39
1,15,95,18
1,16,26,47
1,17,38,71
1,37,29,90
1,19,99,67
1,20,94,35
8,26,44,47
8,55,86,73
8,63,67,55
8,27,57,62
8,84,41,95
8,86,36,91
8,87,20,74
8,91,34,81
8,44,76,66
8,90,84,68
0,1,67,41
0,2,0,34
0,3,24,69
0,4,58,78
0,43,40,56
0,77,30,6
0,40,48,93
0,8,91,61
0,9,42,95
0,10,36,27
3,31,35,16
3,32,42,90
3,33,6,88
3,34,42,40
3,35,48,64
3,36,5,46
3,18,12,69
3,24,11,41
3,39,1,6
3,7,27,81
5,51,15,33
5,14,16,21
5,53,30,4
5,54,6,77
5,82,37,24
5,56,45,21
5,47,23,26
5,58,29,70
5,59,73,77
5,60,12,97
