temp,current_dist,new_dist,best_dist
593.672,1208.03,1208.03,1199.34
587.735,1245.66,1245.66,1199.34
581.858,1255.91,1255.91,1199.34
576.04,1235.45,1235.45,1199.34
570.279,1232,1232,1199.34
564.576,1220.1,1220.1,1199.34
558.931,1230.83,1230.83,1199.34
553.341,1239.55,1239.55,1199.34
547.808,1221.08,1221.08,1199.34
542.33,1223.11,1223.11,1199.34
536.907,1223.11,1274.61,1199.34
531.537,1224.79,1224.79,1199.34
526.222,1229.66,1229.66,1199.34
520.96,1329.65,1329.65,1199.34
515.75,1229.66,1229.66,1199.34
510.593,1258.19,1258.19,1199.34
505.487,1255.37,1255.37,1199.34
500.432,1258.19,1258.19,1199.34
495.428,1279.52,1279.52,1199.34
490.473,1279.53,1279.53,1199.34
485.569,1326.87,1326.87,1199.34
480.713,1295.51,1295.51,1199.34
475.906,1270.66,1270.66,1199.34
471.147,1309.97,1309.97,1199.34
466.435,1304.25,1304.25,1199.34
461.771,1298.53,1298.53,1199.34
457.153,1263.75,1263.75,1199.34
452.582,1303.36,1303.36,1199.34
448.056,1316.96,1316.96,1199.34
443.575,1343.23,1343.23,1199.34
439.14,1361.84,1361.84,1199.34
434.748,1370.12,1370.12,1199.34
430.401,1372.33,1372.33,1199.34
426.097,1383.43,1383.43,1199.34
421.836,1367.49,1367.49,1199.34
417.617,1355.53,1355.53,1199.34
413.441,1373.79,1373.79,1199.34
409.307,1365.61,1365.61,1199.34
405.214,1336.86,1336.86,1199.34
401.162,1326.2,1326.2,1199.34
397.15,1322.11,1322.11,1199.34
393.178,1310.77,1310.77,1199.34
389.247,1301.82,1301.82,1199.34
385.354,1302.07,1302.07,1199.34
381.501,1294.69,1294.69,1199.34
377.686,1338.39,1338.39,1199.34
373.909,1346.67,1346.67,1199.34
370.17,1257.56,1257.56,1199.34
366.468,1253.33,1253.33,1199.34
362.803,1229.53,1229.53,1199.34
359.175,1245.55,1245.55,1199.34
355.584,1262.18,1262.18,1199.34
352.028,1305.32,1305.32,1199.34
348.507,1278.95,1278.95,1199.34
345.022,1322.11,1322.11,1199.34
341.572,1333.19,1333.19,1199.34
338.156,1341.64,1341.64,1199.34
334.775,1333.19,1333.19,1199.34
331.427,1344.32,1344.32,1199.34
328.113,1344.06,1344.06,1199.34
324.832,1340.4,1340.4,1199.34
321.583,1376.91,1376.91,1199.34
318.368,1366.76,1366.76,1199.34
315.184,1366.76,1376.64,1199.34
312.032,1373.14,1373.14,1199.34
308.912,1339.68,1339.68,1199.34
305.823,1320.07,1320.07,1199.34
302.764,1350.91,1350.91,1199.34
299.737,1370.04,1370.04,1199.34
296.739,1358.67,1358.67,1199.34
293.772,1331.36,1331.36,1199.34
290.834,1324.98,1324.98,1199.34
287.926,1347.82,1347.82,1199.34
285.047,1361.67,1361.67,1199.34
282.196,1370.86,1370.86,1199.34
279.374,1328.4,1328.4,1199.34
276.58,1360.69,1360.69,1199.34
273.815,1357.32,1357.32,1199.34
271.077,1368.05,1368.05,1199.34
268.366,1285,1285,1199.34
265.682,1362.53,1362.53,1199.34
263.025,1354.01,1354.01,1199.34
260.395,1318.36,1318.36,1199.34
257.791,1289.07,1289.07,1199.34
255.213,1344.38,1344.38,1199.34
252.661,1344.38,1364.79,1199.34
250.134,1352.57,1352.57,1199.34
247.633,1256.62,1256.62,1199.34
245.157,1288.69,1288.69,1199.34
242.705,1302.71,1302.71,1199.34
240.278,1280.72,1280.72,1199.34
237.875,1258.24,1258.24,1199.34
235.497,1290.21,1290.21,1199.34
233.142,1261.29,1261.29,1199.34
230.81,1271.82,1271.82,1199.34
228.502,1275.86,1275.86,1199.34
226.217,1291.9,1291.9,1199.34
223.955,1305.76,1305.76,1199.34
221.715,1298.87,1298.87,1199.34
219.498,1288.34,1288.34,1199.34
217.303,1288.34,1319.63,1199.34
215.13,1277.62,1277.62,1199.34
212.979,1269.91,1269.91,1199.34
210.849,1280.44,1280.44,1199.34
208.741,1266.17,1266.17,1199.34
206.653,1272.89,1272.89,1199.34
204.587,1266.33,1266.33,1199.34
202.541,1269.47,1269.47,1199.34
200.515,1247.66,1247.66,1199.34
198.51,1237.68,1237.68,1199.34
196.525,1251.93,1251.93,1199.34
194.56,1266.54,1266.54,1199.34
192.614,1334.5,1334.5,1199.34
190.688,1322.32,1322.32,1199.34
188.781,1330.95,1330.95,1199.34
186.893,1335.83,1335.83,1199.34
185.025,1324.94,1324.94,1199.34
183.174,1289.13,1289.13,1199.34
181.343,1280.5,1280.5,1199.34
179.529,1299.24,1299.24,1199.34
177.734,1282.17,1282.17,1199.34
