temp,current_dist,new_dist,best_dist
140.557,816.551,816.551,704.194
140.276,826.556,826.556,704.194
139.995,825.338,825.338,704.194
139.715,825.338,904.505,704.194
139.436,911.331,911.331,704.194
139.157,821.115,821.115,704.194
138.879,897.69,897.69,704.194
138.601,888.916,888.916,704.194
138.324,973.279,973.279,704.194
138.047,951.29,951.29,704.194
137.771,945.74,945.74,704.194
137.496,945.74,978.929,704.194
137.221,969.98,969.98,704.194
136.946,993.003,993.003,704.194
136.672,1014.92,1014.92,704.194
136.399,1029.29,1029.29,704.194
136.126,1025.15,1025.15,704.194
135.854,1010.84,1010.84,704.194
135.582,968.937,968.937,704.194
135.311,1010.84,1010.84,704.194
135.04,1013.42,1013.42,704.194
134.77,1037.28,1037.28,704.194
134.501,1041.43,1041.43,704.194
134.232,1062.51,1062.51,704.194
133.963,1041.43,1041.43,704.194
133.695,968.882,968.882,704.194
133.428,954.653,954.653,704.194
133.161,961.487,961.487,704.194
132.895,907.974,907.974,704.194
132.629,829.185,829.185,704.194
132.364,829.185,848.969,704.194
132.099,855.294,855.294,704.194
131.835,855.294,922.939,704.194
131.571,907.233,907.233,704.194
131.308,907.298,907.298,704.194
131.045,901.362,901.362,704.194
130.783,908.584,908.584,704.194
130.522,879.195,879.195,704.194
130.261,963.443,963.443,704.194
130,963.443,1038.5,704.194
129.74,972.312,972.312,704.194
129.481,975.458,975.458,704.194
129.222,960.407,960.407,704.194
128.963,973.57,973.57,704.194
128.705,880.079,880.079,704.194
128.448,877.833,877.833,704.194
128.191,907.583,907.583,704.194
127.935,907.583,953.553,704.194
127.679,891.385,891.385,704.194
127.423,871.142,871.142,704.194
127.169,883.058,883.058,704.194
126.914,885.91,885.91,704.194
126.66,904.69,904.69,704.194
126.407,915.433,915.433,704.194
126.154,936.035,936.035,704.194
125.902,896.397,896.397,704.194
125.65,913.183,913.183,704.194
125.399,930.037,930.037,704.194
125.148,915.14,915.14,704.194
124.898,915.14,930.037,704.194
124.648,898.485,898.485,704.194
124.399,867.288,867.288,704.194
124.15,867.288,912.014,704.194
123.902,858.532,858.532,704.194
123.654,882.356,882.356,704.194
123.406,917.231,917.231,704.194
123.16,936.47,936.47,704.194
122.913,875.193,875.193,704.194
122.667,875.193,926.062,704.194
122.422,910.808,910.808,704.194
122.177,958.622,958.622,704.194
121.933,955.422,955.422,704.194
121.689,939.015,939.015,704.194
121.446,935.743,935.743,704.194
121.203,1066.02,1066.02,704.194
120.96,1048.5,1048.5,704.194
120.718,1031.71,1031.71,704.194
120.477,1016.98,1016.98,704.194
120.236,958.935,958.935,704.194
119.996,867.19,867.19,704.194
119.756,960.928,960.928,704.194
119.516,958.976,958.976,704.194
119.277,1015.64,1015.64,704.194
119.039,1016.32,1016.32,704.194
118.8,1014.3,1014.3,704.194
118.563,1015.79,1015.79,704.194
118.326,1014.3,1014.3,704.194
118.089,1022.31,1022.31,704.194
117.853,931.481,931.481,704.194
117.617,906.441,906.441,704.194
117.382,943.114,943.114,704.194
117.147,943.114,983.283,704.194
116.913,849.794,849.794,704.194
116.679,879.12,879.12,704.194
116.446,872.45,872.45,704.194
116.213,859.166,859.166,704.194
115.98,859.166,892.313,704.194
115.748,859.166,908.111,704.194
115.517,845.928,845.928,704.194
115.286,916.953,916.953,704.194
115.055,910.002,910.002,704.194
114.825,862.661,862.661,704.194
114.596,862.661,890.085,704.194
114.366,876.335,876.335,704.194
114.138,895.542,895.542,704.194
113.909,920.176,920.176,704.194
113.682,875.727,875.727,704.194
113.454,903.737,903.737,704.194
113.227,882.83,882.83,704.194
113.001,821.669,821.669,704.194
112.775,821.669,842.946,704.194
112.549,821.669,899.542,704.194
112.324,920,920,704.194
112.1,899.525,899.525,704.194
111.875,821.669,821.669,704.194
111.652,803.976,803.976,704.194
111.428,828.93,828.93,704.194
111.205,828.93,950.057,704.194
110.983,921.164,921.164,704.194
110.761,915.74,915.74,704.194
110.54,915.74,955.849,704.194
110.318,935.241,935.241,704.194
110.098,935.241,978.64,704.194
109.878,922.162,922.162,704.194
109.658,922.886,922.886,704.194
109.439,956.277,956.277,704.194
109.22,935.875,935.875,704.194
109.001,855.317,855.317,704.194
108.783,934.841,934.841,704.194
108.566,929.177,929.177,704.194
108.349,929.177,1016.26,704.194
108.132,895.689,895.689,704.194
107.916,940.627,940.627,704.194
107.7,937.296,937.296,704.194
107.484,940.267,940.267,704.194
107.269,955.785,955.785,704.194
107.055,941.851,941.851,704.194
106.841,926.884,926.884,704.194
106.627,926.884,946.631,704.194
106.414,926.884,984.896,704.194
106.201,917.493,917.493,704.194
105.989,925.413,925.413,704.194
105.777,928.099,928.099,704.194
105.565,962.741,962.741,704.194
105.354,962.815,962.815,704.194
105.143,896.179,896.179,704.194
104.933,871.034,871.034,704.194
104.723,905.011,905.011,704.194
104.514,882.245,882.245,704.194
104.305,868.184,868.184,704.194
104.096,868.184,905.011,704.194
103.888,868.184,910.506,704.194
103.68,868.184,965.844,704.194
103.473,864.012,864.012,704.194
103.266,847.12,847.12,704.194
103.059,835.421,835.421,704.194
102.853,864.659,864.659,704.194
102.647,880.954,880.954,704.194
102.442,880.954,931.09,704.194
102.237,880.954,931.09,704.194
102.033,918.232,918.232,704.194
101.829,911.109,911.109,704.194
101.625,980.087,980.087,704.194
101.422,980.087,1037.36,704.194
101.219,920.232,920.232,704.194
101.016,945.535,945.535,704.194
100.814,933.713,933.713,704.194
100.613,909.109,909.109,704.194
100.412,899.563,899.563,704.194
100.211,899.563,1020.78,704.194
100.01,907.506,907.506,704.194
99.8103,829.386,829.386,704.194
99.6106,885.093,885.093,704.194
99.4114,910.566,910.566,704.194
99.2126,926.03,926.03,704.194
99.0142,919.328,919.328,704.194
98.8162,902.349,902.349,704.194
98.6185,933.889,933.889,704.194
98.4213,942.452,942.452,704.194
98.2244,933.889,933.889,704.194
98.028,900.902,900.902,704.194
97.8319,969.212,969.212,704.194
97.6363,974.401,974.401,704.194
97.441,974.401,1003.57,704.194
97.2461,935.988,935.988,704.194
97.0516,959.383,959.383,704.194
96.8575,884.767,884.767,704.194
96.6638,884.767,961.062,704.194
96.4705,961.062,961.062,704.194
96.2775,870.805,870.805,704.194
96.085,870.805,1019.51,704.194
95.8928,794.509,794.509,704.194
95.701,914.522,914.522,704.194
95.5096,916.033,916.033,704.194
95.3186,917.841,917.841,704.194
95.128,852.101,852.101,704.194
94.9377,945.957,945.957,704.194
94.7478,949.149,949.149,704.194
94.5583,928.399,928.399,704.194
94.3692,893.756,893.756,704.194
94.1805,879.577,879.577,704.194
93.9921,918.234,918.234,704.194
93.8041,925.657,925.657,704.194
93.6165,873.723,873.723,704.194
93.4293,891.77,891.77,704.194
93.2424,834.992,834.992,704.194
93.056,834.992,912.483,704.194
92.8698,859.506,859.506,704.194
92.6841,859.506,956.767,704.194
92.4987,908.697,908.697,704.194
92.3137,925.936,925.936,704.194
92.1291,934.712,934.712,704.194
91.9449,934.387,934.387,704.194
91.761,947.257,947.257,704.194
91.5774,999.443,999.443,704.194
91.3943,926.554,926.554,704.194
91.2115,929.903,929.903,704.194
91.0291,926.757,926.757,704.194
90.847,911.047,911.047,704.194
90.6653,911.047,916.599,704.194
90.484,916.599,916.599,704.194
90.303,916.779,916.779,704.194
90.1224,951.435,951.435,704.194
89.9422,993.906,993.906,704.194
89.7623,1033.84,1033.84,704.194
89.5828,984.389,984.389,704.194
89.4036,909.085,909.085,704.194
89.2248,909.085,984.389,704.194
89.0463,869.895,869.895,704.194
88.8682,869.895,924.881,704.194
88.6905,891.751,891.751,704.194
88.5131,961.353,961.353,704.194
88.3361,945.404,945.404,704.194
88.1594,934.915,934.915,704.194
87.9831,983.512,983.512,704.194
87.8071,964.16,964.16,704.194
87.6315,967.393,967.393,704.194
87.4563,990.179,990.179,704.194
87.2814,991.799,991.799,704.194
87.1068,966.764,966.764,704.194
86.9326,959.996,959.996,704.194
86.7587,918.204,918.204,704.194
86.5852,920.038,920.038,704.194
86.412,926.217,926.217,704.194
86.2392,901.416,901.416,704.194
86.0667,908.581,908.581,704.194
85.8946,937.22,937.22,704.194
85.7228,953.619,953.619,704.194
85.5514,953.619,1026.65,704.194
85.3803,884.373,884.373,704.194
85.2095,885.072,885.072,704.194
85.0391,938.872,938.872,704.194
84.869,946.03,946.03,704.194
84.6993,874.32,874.32,704.194
84.5299,919.401,919.401,704.194
84.3608,927.402,927.402,704.194
84.1921,870.775,870.775,704.194
84.0237,910.061,910.061,704.194
83.8556,914.615,914.615,704.194
83.6879,922.654,922.654,704.194
83.5206,922.654,1000.93,704.194
83.3535,981.893,981.893,704.194
83.1868,991.749,991.749,704.194
83.0204,951.793,951.793,704.194
82.8544,955.795,955.795,704.194
82.6887,896.555,896.555,704.194
82.5233,896.555,976.431,704.194
82.3583,988.719,988.719,704.194
82.1935,924.545,924.545,704.194
82.0292,890.466,890.466,704.194
81.8651,890.466,920.358,704.194
81.7014,878.031,878.031,704.194
81.538,870.801,870.801,704.194
81.3749,895.09,895.09,704.194
81.2121,895.09,952.606,704.194
81.0497,905.176,905.176,704.194
80.8876,918.807,918.807,704.194
80.7258,883.382,883.382,704.194
80.5644,854.887,854.887,704.194
80.4033,838.936,838.936,704.194
80.2425,838.936,897.9,704.194
80.082,838.936,874.017,704.194
79.9218,852.911,852.911,704.194
79.762,857.1,857.1,704.194
79.6024,941.713,941.713,704.194
79.4432,942.52,942.52,704.194
79.2844,917.059,917.059,704.194
79.1258,874.912,874.912,704.194
78.9675,964.443,964.443,704.194
78.8096,938.046,938.046,704.194
78.652,915.194,915.194,704.194
78.4947,950.527,950.527,704.194
78.3377,900.213,900.213,704.194
78.181,889.146,889.146,704.194
78.0246,924.576,924.576,704.194
77.8686,889.146,889.146,704.194
77.7129,922.532,922.532,704.194
77.5574,871.639,871.639,704.194
77.4023,837.137,837.137,704.194
77.2475,844.216,844.216,704.194
77.093,844.216,924.723,704.194
76.9388,831.202,831.202,704.194
76.785,831.202,864.555,704.194
76.6314,811.756,811.756,704.194
76.4781,826.252,826.252,704.194
76.3252,762.213,762.213,704.194
76.1725,762.213,857.601,704.194
76.0202,804.14,804.14,704.194
75.8681,804.14,871.337,704.194
75.7164,804.14,872.139,704.194
75.565,868.179,868.179,704.194
75.4138,996.358,996.358,704.194
75.263,996.358,1028.27,704.194
75.1125,942.78,942.78,704.194
74.9623,938.164,938.164,704.194
74.8123,938.164,962.195,704.194
74.6627,933.12,933.12,704.194
74.5134,912.953,912.953,704.194
74.3644,922.738,922.738,704.194
74.2156,866.549,866.549,704.194
74.0672,866.549,883.187,704.194
