temp,current_dist,new_dist,best_dist
157.15,761.279,761.279,761.279
157.071,786.143,786.143,761.279
156.993,761.279,761.279,761.279
156.914,753.077,753.077,753.077
156.836,791.771,791.771,753.077
156.758,793.804,793.804,753.077
156.679,755.109,755.109,753.077
156.601,793.804,793.804,753.077
156.523,790.595,790.595,753.077
156.444,755.109,755.109,753.077
156.366,755.109,773.61,753.077
156.288,755.109,790.595,753.077
156.21,779.973,779.973,753.077
156.132,755.109,755.109,753.077
156.054,773.61,773.61,753.077
155.976,809.095,809.095,753.077
155.898,812.304,812.304,753.077
155.82,809.095,809.095,753.077
155.742,815.265,815.265,753.077
155.664,779.78,779.78,753.077
155.586,771.578,771.578,753.077
155.508,771.578,810.272,753.077
155.43,779.78,779.78,753.077
155.353,779.78,818.474,753.077
155.275,786.143,786.143,753.077
155.197,779.973,779.973,753.077
155.12,818.668,818.668,753.077
155.042,824.838,824.838,753.077
154.965,818.668,818.668,753.077
154.887,812.304,812.304,753.077
154.81,793.804,793.804,753.077
154.732,799.974,799.974,753.077
154.655,796.764,796.764,753.077
154.578,788.562,788.562,753.077
154.5,753.077,753.077,753.077
154.423,753.077,777.941,753.077
154.346,755.109,755.109,753.077
154.269,755.109,779.973,753.077
154.192,761.279,761.279,753.077
154.115,779.78,779.78,753.077
154.037,771.578,771.578,753.077
153.96,777.941,777.941,753.077
153.883,777.941,813.426,753.077
153.807,779.973,779.973,753.077
153.73,773.61,773.61,753.077
153.653,812.304,812.304,753.077
153.576,793.804,793.804,753.077
153.499,790.595,790.595,753.077
153.422,793.804,793.804,753.077
153.346,791.771,791.771,753.077
153.269,788.562,788.562,753.077
153.192,790.595,790.595,753.077
153.116,796.764,796.764,753.077
153.039,761.279,761.279,753.077
152.963,786.143,786.143,753.077
152.886,777.941,777.941,753.077
152.81,753.077,753.077,753.077
152.733,761.279,761.279,753.077
152.657,786.143,786.143,753.077
152.581,786.143,821.628,753.077
152.504,777.941,777.941,753.077
152.428,753.077,753.077,753.077
152.352,791.771,791.771,753.077
152.276,788.562,788.562,753.077
152.2,807.063,807.063,753.077
152.124,810.272,810.272,753.077
152.047,791.771,791.771,753.077
151.971,810.272,810.272,753.077
151.895,812.304,812.304,753.077
151.82,810.272,810.272,753.077
151.744,816.635,816.635,753.077
151.668,810.272,810.272,753.077
151.592,791.771,791.771,753.077
151.516,799.974,799.974,753.077
151.44,761.279,761.279,753.077
151.365,779.78,779.78,753.077
151.289,771.578,771.578,753.077
151.213,779.78,779.78,753.077
151.138,818.474,818.474,753.077
151.062,810.272,810.272,753.077
150.987,818.474,818.474,753.077
150.911,799.974,799.974,753.077
150.836,796.764,796.764,753.077
150.76,821.628,821.628,753.077
150.685,815.459,815.459,753.077
150.61,779.973,779.973,753.077
150.534,755.109,755.109,753.077
150.459,773.61,773.61,753.077
150.384,812.304,812.304,753.077
150.309,793.804,793.804,753.077
150.233,799.974,799.974,753.077
150.158,818.474,818.474,753.077
150.083,824.838,824.838,753.077
150.008,816.635,816.635,753.077
149.933,813.426,813.426,753.077
149.858,821.628,821.628,753.077
149.783,815.459,815.459,753.077
149.708,813.426,813.426,753.077
149.633,777.941,777.941,753.077
149.559,771.578,771.578,753.077
149.484,753.077,753.077,753.077
149.409,777.941,777.941,753.077
149.334,786.143,786.143,753.077
149.26,779.78,779.78,753.077
149.185,815.265,815.265,753.077
149.111,809.095,809.095,753.077
149.036,815.265,815.265,753.077
148.961,779.78,779.78,753.077
148.887,771.578,771.578,753.077
148.813,807.063,807.063,753.077
148.738,813.426,813.426,753.077
148.664,815.459,815.459,753.077
148.589,779.973,779.973,753.077
148.515,777.941,777.941,753.077
148.441,753.077,753.077,753.077
148.367,788.562,788.562,753.077
148.292,790.595,790.595,753.077
148.218,809.095,809.095,753.077
148.144,773.61,773.61,753.077
148.07,809.095,809.095,753.077
147.996,790.595,790.595,753.077
147.922,815.459,815.459,753.077
147.848,813.426,813.426,753.077
147.774,815.459,815.459,753.077
147.7,818.668,818.668,753.077
147.626,815.459,815.459,753.077
147.553,818.668,818.668,753.077
147.479,793.804,793.804,753.077
147.405,755.109,755.109,753.077
147.331,755.109,793.804,753.077
147.258,773.61,773.61,753.077
147.184,773.61,779.973,753.077
147.111,755.109,755.109,753.077
147.037,753.077,753.077,753.077
146.964,788.562,788.562,753.077
146.89,807.063,807.063,753.077
146.817,788.562,788.562,753.077
146.743,791.771,791.771,753.077
146.67,753.077,753.077,753.077
146.596,753.077,791.771,753.077
146.523,777.941,777.941,753.077
146.45,771.578,771.578,753.077
146.377,777.941,777.941,753.077
146.303,779.973,779.973,753.077
146.23,755.109,755.109,753.077
146.157,779.973,779.973,753.077
146.084,773.61,773.61,753.077
146.011,812.304,812.304,753.077
145.938,818.668,818.668,753.077
145.865,824.838,824.838,753.077
145.792,821.628,821.628,753.077
145.719,824.838,824.838,753.077
145.646,799.974,799.974,753.077
145.574,796.764,796.764,753.077
145.501,790.595,790.595,753.077
145.428,788.562,788.562,753.077
145.355,790.595,790.595,753.077
145.283,793.804,793.804,753.077
